,,,,IUCN Red List version 2018-1: Table 7,,,
,,,,,,Last Updated: 05 July 2018,
Table 7: Species changing IUCN Red List Status (2017-2018),,,,,,,
Published listings of a species' status may change for a variety of reasons (genuine improvement or deterioration in status; new information being available,,,,,,,
"that was not known at the time of the previous assessment; taxonomic changes; corrections to mistakes made in previous assessments, etc. To help Red",,,,,,,
"List users interpret the changes between the Red List updates, a summary of species that have changed category between 2017 (IUCN Red List version",,,,,,,
2017-3) and 2018 (IUCN Red List version 2018-1) and the reasons for these changes is provided in the table below.,,,,,,,
IUCN Red List Categories:,"EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered [CR(PE) - Critically Endangered (Possibly Extinct),",,,,,,
"CR(PEW) - Critically Endangered (Possibly Extinct in the Wild)], EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT -",,,,,,,
"Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,,,
Reasons for change:,"G - Genuine status change (genuine improvement or deterioration in the species' status); N - Non-genuine status change (i.e.,",,,,,,
"status changes due to new information, improved knowledge of the criteria, incorrect data used previously, taxonomic revision, etc.); E - Previous listing",,,,,,,
was an Error.,,,,,,,
,,IUCN Red List,IUCN Red,,,,
,,,,Reason for,Red List,,
Scientific name,Common name,(2017),List (2018),,,,
,,,,change,,version,
,,Category,Category,,,,
MAMMALS,,,,,,,
Anotomys leander,Ecuadoran Ichthyomyine,VU,EN,N,,2018-1,
Balaenoptera bonaerensis,Antarctic Minke Whale,DD,NT,N,,2018-1,
Balaenoptera edeni,Bryde's Whale,DD,LC,N,,2018-1,
Bibimys torresi,Torres's Crimson-nosed Rat,NT,VU,N,,2018-1,
Bunomys coelestis,Lompobatang Bunomys,CR,EN,N,,2018-1,
Geocapromys brownii,Brown's Hutia,VU,EN,G,,2018-1,
Geomys tropicalis,Tropical Pocket Gopher,CR,EN,N,,2018-1,
Hylomyscus grandis,Mt Oku Hylomyscus,CR,EN,N,,2018-1,
Neusticomys mussoi,Musso's Fish-eating Rat,EN,VU,N,,2018-1,
Pteropus niger,Greater Mascarene Flying Fox,VU,EN,G,,2018-1,
Thomasomys bombycinus,Silky Oldfield Mouse,DD,VU,N,,2018-1,
Thomasomys eleusis,Peruvian Oldfield Mouse,LC,VU,N,,2018-1,
Thomasomys rosalinda,Rosalinda's Oldfield Mouse,DD,EN,N,,2018-1,
Tupaia chrysogaster,Golden-bellied Treeshrew,EN,VU,N,,2018-1,
REPTILES,,,,,,,
Anomalopus mackayi,Long-legged Worm-skink,VU,LC,N,,2018-1,
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,LR/nt,LC,N,,2018-1,
Austrelaps labialis,Pygmy Copperhead,VU,LC,N,,2018-1,
Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,LR/nt,LC,N,,2018-1,
Delma labialis,Single-striped Delma,VU,LC,N,,2018-1,
Delma torquata,Collared Delma,VU,LC,N,,2018-1,
Demansia torquata,Collared Whip Snake,DD,LC,N,,2018-1,
Eulamprus luteilateralis,Orange-speckled Forest-skink,LC,DD,N,,2018-1,
Furina dunmalli,Dunmall's Snake,VU,DD,N,,2018-1,
Iguana delicatissima,Lesser Antillean Iguana,EN,CR,G,,2018-1,
Lerista vittata,Mount Cooper Striped Lerista,EN,CR,N,,2018-1,
Menetia concinna,Jabiluka Dwarf Skink,DD,LC,N,,2018-1,
Nephrurus deleani,Pernatty Knob-tail,EN,LC,N,,2018-1,
Ophidiocephalus taeniatus,Bronzeback,VU,LC,N,,2018-1,
Orraya occultus,Long-necked Northern Leaf-tailed Gecko,DD,VU,N,,2018-1,
Paradelma orientalis,Brigalow Scaly-foot,VU,LC,N,,2018-1,
Phyllurus gulbaru,,CR,EN,N,,2018-1,
Strophurus taenicauda,Golden Spiny-tailed Gecko,NT,LC,N,,2018-1,
Tympanocryptis pinguicolla,Grassland Earless Dragon,VU,EN,G,,2018-1,
Uvidicolus sphyrurus,Border Thick-tailed Gecko,LR/nt,LC,N,,2018-1,
AMPHIBIANS,,,,,,,
Adenomera lutzi,Lutz's Tropical Bullfrog,DD,EN,N,,2018-1,
Alcalus mariae,Palawan Eastern Frog,DD,EN,N,,2018-1,
Allobates alessandroi,Rocket Frog,DD,EN,N,,2018-1,
Alsodes valdiviensis,,DD,EN,N,,2018-1,
Ameerega bassleri,Pleasing Poison Frog,NT,VU,N,,2018-1,
Ameerega cainarachi,Cainarachi Poison Frog,VU,EN,N,,2018-1,
Ameerega rubriventris,Rana Venenosa,DD,EN,N,,2018-1,
Anomaloglossus kaiei,Kaie Rock Frog,LC,EN,N,,2018-1,
Ansonia albomaculata,White-lipped Slender Toad,NT,LC,N,,2018-1,
Ansonia fuliginea,Montane Slender Toad,VU,LC,N,,2018-1,
Ansonia glandulosa,,DD,LC,N,,2,018-1
Ansonia guibei,Mesilau Stream Toad,EN,CR,G,,2018-1,
Ansonia hanitschi,Kadamaian Stream Toad,NT,LC,N,,2018-1,
Ansonia longidigita,Long-fingered Slender Toad,NT,LC,N,,2018-1,
Ansonia minuta,Dwarf Slender Toad,NT,LC,N,,2018-1,
Ansonia platysoma,,EN,LC,N,,2018-1,
,,IUCN Red List,IUCN Red,,
,,,,Reason for,Red List
Scientific name,Common name,(2017),List (2018),,
,,,,change,version
,,Category,Category,,
Ansonia spinulifer,Spiny Slender Toad,NT,LC,N,2018-1
Ansonia torrentis,Gunung Mulu Stream Toad,VU,LC,N,2018-1
Atelopus balios,Rio Pescado Stubfoot Toad,CR(PE),CR,N,2018-1
Atelopus epikeisthos,,CR,EN,N,2018-1
Atelopus exiguus,,CR,EN,N,2018-1
Atelopus ignescens,Quito Stubfoot Toad,EX,CR,N,2018-1
Atelopus nanay,,CR(PE),CR,N,2018-1
Atelopus nepiozomus,Gualecenita Stubfoot Toad,CR,EN,N,2018-1
Atelopus orcesi,,CR,CR(PE),N,2018-1
Atelopus palmatus,,DD,CR,N,2018-1
Atelopus seminiferus,Upper Amazon Stubfoot Toad,CR,EN,N,2018-1
Boana melanopleura,,DD,LC,N,2018-1
Bolitoglossa palmata,Amazon Mushroomtongue Salamander,VU,LC,N,2018-1
Bryophryne bustamantei,,EN,LC,N,2018-1
Bryophryne gymnotis,,DD,LC,N,2018-1
Chalcorana crassiovis,Korinchi Frog,DD,LC,N,2018-1
Chimerella mariaelenae,Rana de Cristal de María Elena,VU,LC,N,2018-1
Cochranella erminea,,DD,LC,N,2018-1
Cochranella geijskesi,Wilhelmina Cochran Frog,DD,LC,N,2018-1
Colostethus ruthveni,,EN,NT,N,2018-1
Crotaphatrema lamottei,Mount Oku Caecilian,DD,CR,N,2018-1
Ctenophryne barbatula,,VU,EN,N,2018-1
Duttaphrynus sumatranus,,CR,DD,N,2018-1
Ecnomiohyla phantasmagoria,,EN,DD,N,2018-1
Espadarana audax,Napo Giant Glass Frog,EN,LC,N,2018-1
Feihyla kajau,White-eared Tree Frog,NT,LC,N,2018-1
Gastrotheca ochoai,Chilca Marsupial Frog,DD,EN,N,2018-1
Gastrotheca pacchamama,Ayacucho Marsupial Frog,DD,EN,N,2018-1
Gastrotheca rebeccae,,DD,EN,N,2018-1
Gastrotheca zeugocystis,,CR,DD,N,2018-1
Glyphoglossus flavus,,DD,LC,N,2018-1
Glyphoglossus smithi,,DD,NT,N,2018-1
Glyphoglossus volzi,,DD,LC,N,2018-1
Hyloscirtus pantostictus,Rio Chingual Valley Treefrog,EN,CR,N,2018-1
Hyloxalus sylvaticus,Forest Rocket Frog,DD,EN,N,2018-1
Hyperolius ademetzi,Bamenda Reed Frog,NT,EN,N,2018-1
Hyperolius hutsebauti,,DD,LC,N,2018-1
Hypodactylus araiodactylus,,DD,EN,N,2018-1
Hypodactylus lucida,Cannatella's Andes Frog,CR,EN,N,2018-1
Ichthyophis mindanaoensis,Todaya Caecilian,DD,LC,N,2018-1
Ichthyophis paucisulcus,Yellow-banded Caecilian,DD,LC,N,2018-1
Ichthyophis weberi,Malatgan River Caecilian,DD,EN,N,2018-1
Ingerophrynus claviger,,EN,LC,N,2018-1
Insuetophrynus acarpicus,Barrio's Frog,CR,EN,N,2018-1
Isthmura boneti,Oaxacan False Brook Salamander,VU,EN,N,2018-1
Kalophrynus baluensis,,NT,LC,N,2018-1
Kalophrynus intermedius,Intermediate Sticky Frog,VU,LC,N,2018-1
Kalophrynus subterrestris,Burrowing Grainy Frog,NT,LC,N,2018-1
Kaloula kalingensis,Kalinga Narrowmouth Toad,VU,LC,N,2018-1
Kaloula rigida,Luzon Narrow-mouthed Frog,VU,LC,N,2018-1
Kaloula walteri,,DD,VU,N,2018-1
Leptobrachella arayai,Kinabalu Slender Litter Frog,VU,LC,G,2018-1
Leptobrachella parva,,VU,LC,N,2018-1
Leptobrachella picta,,VU,LC,N,2018-1
Leptobrachium gunungense,,VU,LC,N,2018-1
Leptodactylus pascoensis,Hualo,VU,DD,N,2018-1
Limnonectes asperatus,Rough-backed Frog,NT,LC,N,2018-1
Limnonectes dammermani,Dammerman's Wart Frog,NT,LC,N,2018-1
Limnonectes ibanorum,Rough-backed River Frog,NT,LC,N,2018-1
Limnonectes ingeri,Inger's Wart Frog,NT,LC,N,2018-1
Limnonectes kenepaiensis,Kenepai Wart Frog,DD,VU,N,2018-1
Limnonectes parvus,Philippines Small-disked frog,VU,LC,N,2018-1
Limnonectes rhacodus,,NT,LC,N,2018-1
Lithobates bwana,Rio Chipillico Frog,VU,LC,N,2018-1
Lynchius flavomaculatus,Yellow-spotted Andes Frog,VU,DD,N,2018-1
Lynchius nebulanastes,Canchaque Andes Frog,DD,EN,N,2018-1
Megophrys baluensis,Kinabalu Horned Frog,NT,LC,N,2018-1
,,IUCN Red List,IUCN Red,,
,,,,Reason for,Red List
Scientific name,Common name,(2017),List (2018),,
,,,,change,version
,,Category,Category,,
Megophrys kobayashii,Kobayashi's Horned Frog,NT,LC,N,2018-1
Megophrys ligayae,Palawan Horned Frog,EN,NT,N,2018-1
Megophrys parallela,,DD,LC,N,2018-1
Megophrys stejnegeri,Mindanao Horned Frog,VU,LC,N,2018-1
Meristogenys amoropalamus,Mountain Borneo Frog,VU,LC,N,2018-1
Meristogenys kinabaluensis,Kinabalu Torrent Frog,NT,LC,N,2018-1
Meristogenys whiteheadi,Whitehead's Borneo Frog,NT,LC,N,2018-1
Microhyla maculifera,Spotted Narrow-mouthed Frog,VU,DD,N,2018-1
Microhyla perparva,Labang Forest Rice Frog,NT,LC,N,2018-1
Nannophryne corynetes,Abra Malaga Toad,VU,EN,G,2018-1
Noblella lynchi,,DD,EN,N,2018-1
Nyctixalus spinosus,Spiny Indonesian Treefrog,VU,LC,N,2018-1
Nymphargus griffithsi,Ecuador Cochran Frog,VU,LC,N,2018-1
Nymphargus mariae,Maria's Giant Glass Frog,EN,LC,N,2018-1
Nymphargus mixomaculatus,,DD,CR,N,2018-1
Nymphargus ocellatus,Spotted Cochran Frog,NT,DD,N,2018-1
Nymphargus posadae,,VU,LC,N,2018-1
Oreobates lehri,,LC,EN,N,2018-1
Oreobates lundbergi,,DD,EN,N,2018-1
Oreobates pereger,Ayacucho Andes Frog,CR,EN,N,2018-1
Oreobates saxatilis,Tarapoto Big-headed Frog,DD,LC,N,2018-1
Oreophryne anulata,Mindanao Cross Frog,VU,LC,N,2018-1
Oreophryne nana,Camiguin Cross Frog,DD,NT,N,2018-1
Osornophryne talipes,Cannatella's Plump Toad,EN,VU,N,2018-1
Pelophryne albotaeniata,White-striped Flathead Toad,EN,VU,N,2018-1
Philautus acutus,Raspy Bush Frog,VU,LC,N,2018-1
Philautus amoenus,Kamboranga Bush Frog,VU,LC,N,2018-1
Philautus bunitus,Green Bush Frog,VU,LC,N,2018-1
Philautus gunungensis,,VU,LC,N,2018-1
Philautus hosii,Borneo Bubble-nest Frog,NT,LC,N,2018-1
Philautus poecilius,,VU,LC,N,2018-1
Philautus saueri,Sauer’s Bush Frog,VU,LC,N,2018-1
Philautus similis,,EN,DD,N,2018-1
Philautus surrufus,Molted Tree Frog,EN,NT,N,2018-1
Philautus tectus,Obscure Bush Frog,VU,LC,N,2018-1
Philautus worcesteri,Smooth-skinned Tree Frog,VU,LC,N,2018-1
Phrynopus barthlenae,,VU,EN,N,2018-1
Phrynopus bracki,Brack's Andes Frog,EN,DD,N,2018-1
Phrynopus dagmarae,,CR,EN,N,2018-1
Phrynopus horstpauli,,VU,EN,N,2018-1
Phrynopus kauneorum,,CR,EN,N,2018-1
Phrynopus tautzorum,,CR,DD,N,2018-1
Phrynopus tribulosus,,DD,LC,N,2018-1
Platymantis cagayanensis,,EN,NT,N,2018-1
Platymantis cornutus,,VU,LC,N,2018-1
Platymantis diesmosi,,DD,EN,N,2018-1
Platymantis guentheri,Gunther's Wrinkled Ground Frog,VU,LC,N,2018-1
Platymantis hazelae,Hazel's Wrinkled Ground Frog,EN,VU,N,2018-1
Platymantis isarog,,VU,LC,N,2018-1
Platymantis mimulus,,NT,LC,N,2018-1
Platymantis paengi,Panay Limestone Frog,DD,EN,N,2018-1
Platymantis polillensis,Polillo Wrinkled Ground Frog,EN,LC,N,2018-1
Platymantis rabori,Rabori's Forest Frog,VU,LC,N,2018-1
Platymantis taylori,,EN,VU,N,2018-1
Pristimantis albertus,,DD,VU,N,2018-1
Pristimantis aniptopalmatus,,DD,LC,N,2018-1
Pristimantis ardalonychus,Río Cerranayacu Rain Frog,DD,EN,N,2018-1
Pristimantis avicuporum,,DD,LC,N,2018-1
Pristimantis colodactylus,Piura Robber Frog,VU,LC,N,2018-1
Pristimantis colomai,,EN,VU,N,2018-1
Pristimantis condor,Condor Robber Frog,VU,LC,N,2018-1
Pristimantis katoptroides,,EN,LC,N,2018-1
Pristimantis lirellus,,DD,LC,N,2018-1
Pristimantis nephophilus,Cutín de Rioja,VU,NT,N,2018-1
Pristimantis pataikos,Cutín de Leimebamba,VU,DD,N,2018-1
Pristimantis percnopterus,,NT,LC,N,2018-1
Pristimantis petrobardus,Huambos Robber Frog,DD,EN,N,2018-1
,,IUCN Red List,IUCN Red,,
,,,,Reason for,Red List
